team,ranking,date
ATL,-0.0830533181334766,2021-01-13
BKN,-0.06495221127635908,2021-01-13
NYK,-0.02219980493676413,2021-01-13
ORL,0.06113350188141464,2021-01-13
GSW,0.07103138274420027,2021-01-13
OKC,0.17725696198328642,2021-01-13
POR,0.27188667662920946,2021-01-13
SAS,0.28000038474426914,2021-01-13
DAL,0.305567503002869,2021-01-13
CHA,0.3369782677210979,2021-01-13
MIL,0.35989053722374587,2021-01-13
IND,0.45613538622704247,2021-01-13
PHI,0.4762775957214567,2021-01-13
PHX,0.5076938756111998,2021-01-13
LAC,0.6020754076643157,2021-01-13
BOS,0.6741220021561369,2021-01-13
UTA,0.6853003490183136,2021-01-13
LAL,0.955325827300292,2021-01-13
DET,-1.1816361902185022,2021-01-14
MIN,-1.0387412392771134,2021-01-14
TOR,-0.9747563225903919,2021-01-14
WAS,-0.8752963780673976,2021-01-14
CHI,-0.5391646419006059,2021-01-14
HOU,-0.5225794251507434,2021-01-14
SAC,-0.49664399248386454,2021-01-14
NOP,-0.4132681193978957,2021-01-14
MIA,-0.23375412944992158,2021-01-14
CLE,-0.22412970435755988,2021-01-14
NYK,-0.21640421838393983,2021-01-14
DEN,-0.1637044026093539,2021-01-14
ATL,-0.08483382212740172,2021-01-14
MEM,-0.03011299814787691,2021-01-14
OKC,0.024605756133873696,2021-01-14
ORL,0.05697623254415921,2021-01-14
GSW,0.08796162719545265,2021-01-14
BKN,0.10775144335568541,2021-01-14
CHA,0.1472159888617511,2021-01-14
SAS,0.2875219328648525,2021-01-14
POR,0.4331252275190567,2021-01-14
IND,0.43959496045501284,2021-01-14
MIL,0.4492436773763647,2021-01-14
PHI,0.46601211217441196,2021-01-14
PHX,0.4998229391674762,2021-01-14
DAL,0.52481105309549,2021-01-14
BOS,0.6822663958210511,2021-01-14
UTA,0.6841008830536437,2021-01-14
LAC,0.706610984613081,2021-01-14
LAL,1.101609740675929,2021-01-14
DET,-1.1870312856225467,2021-01-15
MIN,-1.042498322369778,2021-01-15
WAS,-0.8746515144825153,2021-01-15
TOR,-0.7038255708554471,2021-01-15
CHI,-0.5436330461523616,2021-01-15
SAC,-0.47237941732159355,2021-01-15
NOP,-0.4096731653123627,2021-01-15
MIA,-0.34925191073753725,2021-01-15
HOU,-0.22995117973373455,2021-01-15
CLE,-0.22563547329120714,2021-01-15
NYK,-0.19957885696951508,2021-01-15
ATL,-0.09317922746061483,2021-01-15
GSW,-0.07284968067723138,2021-01-15
CHA,-0.054563226765605766,2021-01-15
MEM,-0.04654961614507197,2021-01-15
OKC,0.009740233215066426,2021-01-15
DEN,0.012472628820878065,2021-01-15
SAS,0.04635103978483878,2021-01-15
ORL,0.06302502334283251,2021-01-15
BKN,0.10203697805023298,2021-01-15
POR,0.24510786028051626,2021-01-15
MIL,0.43823149792470234,2021-01-15
PHX,0.5152982963746822,2021-01-15
DAL,0.5243598358194145,2021-01-15
PHI,0.5637880693870381,2021-01-15
IND,0.6305834668018595,2021-01-15
UTA,0.6718602447876408,2021-01-15
LAC,0.6937015803042772,2021-01-15
BOS,0.6967584388780085,2021-01-15
LAL,1.0888178889614155,2021-01-15
DET,-1.1696240667573212,2021-01-16
MIN,-1.0374261215415028,2021-01-16
WAS,-0.8883296736891845,2021-01-16
TOR,-0.7134555311579164,2021-01-16
CHI,-0.6615793690567416,2021-01-16
SAC,-0.5778733230415175,2021-01-16
NOP,-0.4701996039886613,2021-01-16
MIA,-0.3446269895076624,2021-01-16
NYK,-0.3260707913286845,2021-01-16
HOU,-0.2410128633247254,2021-01-16
ATL,-0.2018712207937238,2021-01-16
CLE,-0.09281950618488655,2021-01-16
GSW,-0.06947075587989758,2021-01-16
CHA,-0.06301778356739655,2021-01-16
MEM,-0.039138582467566324,2021-01-16
ORL,-0.030770466446539812,2021-01-16
DEN,0.0010558085611108582,2021-01-16
SAS,0.055453057923219244,2021-01-16
BKN,0.09998846474908059,2021-01-16
OKC,0.10634865473287322,2021-01-16
POR,0.2448111335026943,2021-01-16
DAL,0.36080434744264916,2021-01-16
PHX,0.5053746888080133,2021-01-16
PHI,0.5571947357375603,2021-01-16
MIL,0.5849881565731806,2021-01-16
IND,0.6269630843979713,2021-01-16
UTA,0.7760447440730593,2021-01-16
LAC,0.794810735840873,2021-01-16
BOS,0.8234030322910495,2021-01-16
LAL,1.1440467792545168,2021-01-16
MIN,-1.0152533467007943,2021-01-17
WAS,-0.9102891316737706,2021-01-17
DET,-0.8912317977092187,2021-01-17
CHI,-0.6660674272047667,2021-01-17
MIA,-0.6183198665464699,2021-01-17
SAC,-0.5747546948867703,2021-01-17
TOR,-0.5013762277776611,2021-01-17
NOP,-0.46560902778307317,2021-01-17
HOU,-0.37561887046957987,2021-01-17
NYK,-0.33025936046698356,2021-01-17
ATL,-0.3121467109269677,2021-01-17
CHA,-0.22687106341156324,2021-01-17
ORL,-0.1776819373206283,2021-01-17
CLE,-0.0974358621234697,2021-01-17
GSW,-0.04953994386147933,2021-01-17
DEN,-0.0031626315801697303,2021-01-17
OKC,0.09234357530051701,2021-01-17
MEM,0.14909992803864594,2021-01-17
SAS,0.18452431543590767,2021-01-17
BKN,0.20960550311034823,2021-01-17
DAL,0.3374877547956506,2021-01-17
POR,0.3566313946245765,2021-01-17
PHI,0.3585100296629928,2021-01-17
PHX,0.5140178134273592,2021-01-17
MIL,0.5769542697413262,2021-01-17
IND,0.6287896101836754,2021-01-17
UTA,0.7885379130020986,2021-01-17
LAC,0.8024782736565734,2021-01-17
BOS,0.8372581379692201,2021-01-17
LAL,1.1592343898294253,2021-01-17
MIN,-1.0156379943957707,2021-01-18
DET,-0.9003474446812328,2021-01-18
WAS,-0.8987065659264083,2021-01-18
SAC,-0.7323985250692964,2021-01-18
MIA,-0.6233281153902719,2021-01-18
TOR,-0.4953713112162974,2021-01-18
CHI,-0.4241094636052587,2021-01-18
HOU,-0.3979984885060669,2021-01-18
ATL,-0.29695710452548874,2021-01-18
NOP,-0.2786783464514745,2021-01-18
CHA,-0.2281885010453901,2021-01-18
ORL,-0.18673741045039816,2021-01-18
DEN,-0.13624279946744514,2021-01-18
NYK,-0.10668080966266902,2021-01-18
CLE,-0.0874495660804964,2021-01-18
GSW,-0.04670434777489316,2021-01-18
DAL,0.08609357339866022,2021-01-18
OKC,0.11321041930530039,2021-01-18
MEM,0.14224679433272047,2021-01-18
SAS,0.19404243306534888,2021-01-18
BKN,0.20895543846832518,2021-01-18
POR,0.3589929047549407,2021-01-18
PHI,0.3621869543892315,2021-01-18
IND,0.4981803566890568,2021-01-18
PHX,0.498867534138234,2021-01-18
BOS,0.5332511217073798,2021-01-18
MIL,0.5769327427458993,2021-01-18
UTA,0.9199056849519245,2021-01-18
LAC,0.9201534881945582,2021-01-18
LAL,1.1616858962233085,2021-01-18
MIN,-1.123571008262031,2021-01-19
DET,-1.0307838246178416,2021-01-19
WAS,-0.8975000335811156,2021-01-19
SAC,-0.7437917451821947,2021-01-19
HOU,-0.5637470796330183,2021-01-19
MIA,-0.5071324292627688,2021-01-19
ORL,-0.3132510982327072,2021-01-19
TOR,-0.3045780838362974,2021-01-19
CHI,-0.29742943715514303,2021-01-19
NOP,-0.2646399823908282,2021-01-19
CHA,-0.2113235867998673,2021-01-19
ATL,-0.18534819077757683,2021-01-19
DEN,-0.14482586528776015,2021-01-19
DAL,-0.09596768828034556,2021-01-19
CLE,-0.08269402316687428,2021-01-19
NYK,0.014720483460809515,2021-01-19
OKC,0.1165812387691276,2021-01-19
POR,0.18486209600566944,2021-01-19
GSW,0.19753934420513916,2021-01-19
MEM,0.3003812673397764,2021-01-19
PHX,0.31320509286633647,2021-01-19
SAS,0.3521151603883674,2021-01-19
BKN,0.36555562973144734,2021-01-19
PHI,0.37979682499192713,2021-01-19
MIL,0.4236061895937607,2021-01-19
IND,0.5023415205487537,2021-01-19
BOS,0.5417281272360703,2021-01-19
LAC,0.9111121452721598,2021-01-19
UTA,0.914433822646714,2021-01-19
LAL,0.9204751916767948,2021-01-19
MIN,-1.1137735836880476,2021-01-20
DET,-1.0299571844838062,2021-01-20
WAS,-0.8975576941478918,2021-01-20
SAC,-0.7362417503604946,2021-01-20
HOU,-0.5588164203705194,2021-01-20
MIA,-0.5129687662606736,2021-01-20
NOP,-0.34349864121029766,2021-01-20
ORL,-0.3197326319190643,2021-01-20
TOR,-0.30927955162189225,2021-01-20
CHI,-0.2991180543475481,2021-01-20
CHA,-0.21798847912306685,2021-01-20
ATL,-0.18445892302400066,2021-01-20
DAL,-0.09277682812932256,2021-01-20
CLE,-0.08205721250415039,2021-01-20
OKC,-0.0336587295028472,2021-01-20
DEN,0.0034387414778123573,2021-01-20
NYK,0.015333972062995152,2021-01-20
POR,0.18762394666876325,2021-01-20
GSW,0.20136352220023385,2021-01-20
MEM,0.3006988321955134,2021-01-20
PHX,0.3185120350668007,2021-01-20
SAS,0.34938862854388075,2021-01-20
BKN,0.3660339556060282,2021-01-20
PHI,0.38184441691791415,2021-01-20
MIL,0.42471528832901373,2021-01-20
IND,0.5012142972226038,2021-01-20
BOS,0.5409611422580994,2021-01-20
LAC,0.9163867562310728,2021-01-20
LAL,0.9170127031359695,2021-01-20
UTA,0.9777322074587014,2021-01-20
MIN,-1.2519957223284832,2021-01-21
DET,-1.1101006858026277,2021-01-21
WAS,-0.8871336499355793,2021-01-21
SAC,-0.7846162100863605,2021-01-21
HOU,-0.6799088184232109,2021-01-21
TOR,-0.4872713304443979,2021-01-21
NOP,-0.3537809747829404,2021-01-21
MIA,-0.31217850221949983,2021-01-21
CHI,-0.2902422249378998,2021-01-21
CHA,-0.20801565267972447,2021-01-21
ORL,-0.19942028651756638,2021-01-21
ATL,-0.10344141463596827,2021-01-21
OKC,-0.02941815423850482,2021-01-21
DEN,0.0030771915439181717,2021-01-21
NYK,0.010357677380557142,2021-01-21
